num_vert,max_degree,max_indegree,max_values,nodes,method,kind,query_type,filename,target,observed,barren,interval_result
2,6,2,4,4,cve,sing,marg,./networks/vmodel/vmodel-sing_n4_mID2_mD6_mV4_nV2-1.uai,3,,0,0.476609993 0.614758876376 0.385241123624 0.523390007
2,6,2,4,4,cve,sing,cond,./networks/vmodel/vmodel-sing_n4_mID2_mD6_mV4_nV2-1.uai,0,3,0,0.21158887521400385 0.31777107907580027 0.46768068370950255 0.6384243669543201 0.05671049889741206 0.2693091294252906 0.010565563603468645 0.0553632024719982
2,6,2,4,5,cve,sing,marg,./networks/vmodel/vmodel-sing_n5_mID2_mD6_mV4_nV2-1.uai,4,,0,0.139525240230232 0.40904841081014 0.23385172573637 0.641950949722884 0.12303928458006001 0.5277107544401599
2,6,2,4,5,cve,sing,cond,./networks/vmodel/vmodel-sing_n5_mID2_mD6_mV4_nV2-1.uai,0,4,0,0.08881519367445478 0.4106994478634178 0.20732277663754944 0.6987817526272669 0.20153561498384626 0.4244924529047827
2,6,2,4,6,cve,sing,marg,./networks/vmodel/vmodel-sing_n6_mID2_mD6_mV4_nV2-1.uai,5,,0,0.06913445655785863 0.6015031986195333 0.09165834101998299 0.6655125442856715 0.0743771171688254 0.44464003272537717 0.031712064828787356 0.254666391736042
2,6,2,4,6,cve,sing,cond,./networks/vmodel/vmodel-sing_n6_mID2_mD6_mV4_nV2-1.uai,0,5,0,0.09281719321700743 0.8586191822095642 0.0970174160833891 0.25677152270613585 0.012266859587267991 0.5693372306146309 0.03054698992708289 0.17116293803024737
2,6,2,4,7,cve,sing,marg,./networks/vmodel/vmodel-sing_n7_mID2_mD6_mV4_nV2-1.uai,6,,0,0.32631357354504925 0.8655622137396267 0.1344377862603735 0.673686426454951
2,6,2,4,7,cve,sing,cond,./networks/vmodel/vmodel-sing_n7_mID2_mD6_mV4_nV2-1.uai,0,6,0,0.06488227581822582 0.7364474616501411 0.2635525383498589 0.9351177241817742
2,6,2,4,8,cve,sing,marg,./networks/vmodel/vmodel-sing_n8_mID2_mD6_mV4_nV2-1.uai,7,,0,0.017249948513106902 0.46850626627645087 0.062450810694004454 0.7102981473339223 0.04845598157947407 0.5442871133870856 0.016050915869178433 0.27795070370338143
2,6,2,4,8,cve,sing,cond,./networks/vmodel/vmodel-sing_n8_mID2_mD6_mV4_nV2-1.uai,0,7,0,0.16897875901639126 0.5845273842390771 0.09405623992054336 0.5169480782418454 0.04687876892828347 0.7236079281446574
2,6,2,4,9,cve,sing,marg,./networks/vmodel/vmodel-sing_n9_mID2_mD6_mV4_nV2-1.uai,8,,0,0.24485812442079694 0.8908193998664886 0.1091806001335113 0.7551418755792028
2,6,2,4,9,cve,sing,cond,./networks/vmodel/vmodel-sing_n9_mID2_mD6_mV4_nV2-1.uai,0,8,0,0.0047745877229402635 0.3116084587425254 0.34457908524675257 0.7271715867441003 0.2548848182364972 0.41940190642322944
2,6,2,4,10,cve,sing,marg,./networks/vmodel/vmodel-sing_n10_mID2_mD6_mV4_nV2-1.uai,9,,0,0.15406367390740722 0.5736131414838659 0.11353518396283442 0.5881769107736324 0.18129826460514076 0.4803371793477182
