label,num_vert,max_degree,max_indegree,max_values,nodes,method,kind,query_type,filename,target,observed,barren,interval_result,time
vs_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,cve,sing,marg,./networks/vmodel/vmodel-sing_n4_mID2_mD6_mV4_nV2-1.uai,3,,0,0.476609993 0.614758876376 0.385241123624 0.523390007,47.0
vs_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,cve,sing,cond,./networks/vmodel/vmodel-sing_n4_mID2_mD6_mV4_nV2-1.uai,0,3,0,0.21158887521400385 0.31777107907580027 0.46768068370950255 0.6384243669543201 0.05671049889741206 0.2693091294252906 0.010565563603468645 0.0553632024719982,65.0
vm_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,cve,mult,marg,./networks/vmodel/vmodel-mult_n4_mID2_mD6_mV4_nV2-1.uai,2,,0,0.142387054038 0.529712535815 0.10009022261400001 0.648365350562 0.12424055163199998 0.683211511788,310312.0
vm_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,cve,mult,cond,./networks/vmodel/vmodel-mult_n4_mID2_mD6_mV4_nV2-1.uai,0,2,0,0.012342690023588145 0.5399930948722422 0.0 0.029810883948378514 0.2936741409856318 0.813829611502693 0.0 0.6859359106777004,391599.0
vs_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,cve,sing,marg,./networks/vmodel/vmodel-sing_n5_mID2_mD6_mV4_nV2-1.uai,4,,0,0.139525240230232 0.40904841081014 0.23385172573637 0.641950949722884 0.12303928458006001 0.5277107544401599,133.0
vs_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,cve,sing,cond,./networks/vmodel/vmodel-sing_n5_mID2_mD6_mV4_nV2-1.uai,0,4,0,0.08881519367445478 0.4106994478634178 0.20732277663754944 0.6987817526272669 0.20153561498384626 0.4244924529047827,196.0
vm_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,cve,mult,marg,./networks/vmodel/vmodel-mult_n5_mID2_mD6_mV4_nV2-1.uai,1,,2,0.077123568 0.41179925100000003 0.049826202 0.36225932499999997 0.03209438900000001 0.352812113 0.197896493 0.655587987,37.0
vm_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,cve,mult,cond,./networks/vmodel/vmodel-mult_n5_mID2_mD6_mV4_nV2-1.uai,0,2 1,0,0.04587809957507319 0.9708674641505408 0.02913253584945926 0.9541219004249268,551.0
vs_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,cve,sing,marg,./networks/vmodel/vmodel-sing_n6_mID2_mD6_mV4_nV2-1.uai,5,,0,0.06913445655785863 0.6015031986195333 0.09165834101998299 0.6655125442856715 0.0743771171688254 0.44464003272537717 0.031712064828787356 0.254666391736042,133.0
vs_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,cve,sing,cond,./networks/vmodel/vmodel-sing_n6_mID2_mD6_mV4_nV2-1.uai,0,5,0,0.09281719321700743 0.8586191822095642 0.0970174160833891 0.25677152270613585 0.012266859587267991 0.5693372306146309 0.03054698992708289 0.17116293803024737,248.0
vm_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,cve,mult,marg,./networks/vmodel/vmodel-mult_n6_mID2_mD6_mV4_nV2-1.uai,1,,3,0.14153260799999998 0.654127318 0.12016583100000001 0.701177798 0.10332365900000001 0.395945148,40.0
vm_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,cve,mult,cond,./networks/vmodel/vmodel-mult_n6_mID2_mD6_mV4_nV2-1.uai,2,4 1 0,0,,
vs_n7_mID2_mD6_mV4_nV2-1,2,6,2,4,7,cve,sing,marg,./networks/vmodel/vmodel-sing_n7_mID2_mD6_mV4_nV2-1.uai,6,,0,0.32631357354504925 0.8655622137396267 0.1344377862603735 0.673686426454951,765.0
vs_n7_mID2_mD6_mV4_nV2-1,2,6,2,4,7,cve,sing,cond,./networks/vmodel/vmodel-sing_n7_mID2_mD6_mV4_nV2-1.uai,0,6,0,0.06488227581822582 0.7364474616501411 0.2635525383498589 0.9351177241817742,1057.0
vm_n7_mID2_mD6_mV4_nV2-1,2,6,2,4,7,cve,mult,marg,./networks/vmodel/vmodel-mult_n7_mID2_mD6_mV4_nV2-1.uai,4,,1,,
vm_n7_mID2_mD6_mV4_nV2-1,2,6,2,4,7,cve,mult,cond,./networks/vmodel/vmodel-mult_n7_mID2_mD6_mV4_nV2-1.uai,2,4 1,0,,
vs_n8_mID2_mD6_mV4_nV2-1,2,6,2,4,8,cve,sing,marg,./networks/vmodel/vmodel-sing_n8_mID2_mD6_mV4_nV2-1.uai,7,,0,0.017249948513106902 0.46850626627645087 0.062450810694004454 0.7102981473339223 0.04845598157947407 0.5442871133870856 0.016050915869178433 0.27795070370338143,1779.0
vs_n8_mID2_mD6_mV4_nV2-1,2,6,2,4,8,cve,sing,cond,./networks/vmodel/vmodel-sing_n8_mID2_mD6_mV4_nV2-1.uai,0,7,0,0.16897875901639126 0.5845273842390771 0.09405623992054336 0.5169480782418454 0.04687876892828347 0.7236079281446574,4563.0
vm_n8_mID2_mD6_mV4_nV2-1,2,6,2,4,8,cve,mult,marg,./networks/vmodel/vmodel-mult_n8_mID2_mD6_mV4_nV2-1.uai,2,,4,0.334189219961 0.706729065937 0.29327093406300003 0.665810780039,40403.0
vm_n8_mID2_mD6_mV4_nV2-1,2,6,2,4,8,cve,mult,cond,./networks/vmodel/vmodel-mult_n8_mID2_mD6_mV4_nV2-1.uai,1,5 4 2,0,,
vs_n9_mID2_mD6_mV4_nV2-1,2,6,2,4,9,cve,sing,marg,./networks/vmodel/vmodel-sing_n9_mID2_mD6_mV4_nV2-1.uai,8,,0,0.24485812442079694 0.8908193998664886 0.1091806001335113 0.7551418755792028,18804.0
vs_n9_mID2_mD6_mV4_nV2-1,2,6,2,4,9,cve,sing,cond,./networks/vmodel/vmodel-sing_n9_mID2_mD6_mV4_nV2-1.uai,0,8,0,0.0047745877229402635 0.3116084587425254 0.34457908524675257 0.7271715867441003 0.2548848182364972 0.41940190642322944,36150.0
vm_n9_mID2_mD6_mV4_nV2-1,2,6,2,4,9,cve,mult,marg,./networks/vmodel/vmodel-mult_n9_mID2_mD6_mV4_nV2-1.uai,0,,3,0.08832036838327371 0.6327583998845732 0.04694090470000704 0.5610353281870315 0.034070615331226135 0.2708102238520467 0.037214072955574634 0.6219906281653108,4708.0
vm_n9_mID2_mD6_mV4_nV2-1,2,6,2,4,9,cve,mult,cond,./networks/vmodel/vmodel-mult_n9_mID2_mD6_mV4_nV2-1.uai,1,7 3 0,0,,
vs_n10_mID2_mD6_mV4_nV2-1,2,6,2,4,10,cve,sing,marg,./networks/vmodel/vmodel-sing_n10_mID2_mD6_mV4_nV2-1.uai,9,,0,0.15406367390740722 0.5736131414838659 0.11353518396283442 0.5881769107736324 0.18129826460514076 0.4803371793477182,87901.0
vs_n10_mID2_mD6_mV4_nV2-1,2,6,2,4,10,cve,sing,cond,./networks/vmodel/vmodel-sing_n10_mID2_mD6_mV4_nV2-1.uai,0,9,0,0.0047284684636655985 0.1385954335889105 0.8614045664110895 0.9952715315363344,168113.0
vm_n10_mID2_mD6_mV4_nV2-1,2,6,2,4,10,cve,mult,marg,./networks/vmodel/vmodel-mult_n10_mID2_mD6_mV4_nV2-1.uai,0,,4,,
vm_n10_mID2_mD6_mV4_nV2-1,2,6,2,4,10,cve,mult,cond,./networks/vmodel/vmodel-mult_n10_mID2_mD6_mV4_nV2-1.uai,2,6 4 3 0,0,,
vs_n4_mID4_mD6_mV4_nV2-1,2,6,4,4,4,cve,sing,marg,./networks/vmodel/vmodel-sing_n4_mID4_mD6_mV4_nV2-1.uai,3,,0,0.056616036058 0.759156121051 0.05425339853200001 0.233865024814 0.13555395043200003 0.87893827017,43.0
vs_n4_mID4_mD6_mV4_nV2-1,2,6,4,4,4,cve,sing,cond,./networks/vmodel/vmodel-sing_n4_mID4_mD6_mV4_nV2-1.uai,0,3,0,0.11012438162970337 0.7235544576997447 0.10093544356325494 0.8773659551999089 0.0020929914843290454 0.6521800750871638,44.0
vm_n4_mID4_mD6_mV4_nV2-1,2,6,4,4,4,cve,mult,marg,./networks/vmodel/vmodel-mult_n4_mID4_mD6_mV4_nV2-1.uai,2,,0,0.25342670080100005 0.90983219216 0.09016780784 0.7465732991990002,37.0
vm_n4_mID4_mD6_mV4_nV2-1,2,6,4,4,4,cve,mult,cond,./networks/vmodel/vmodel-mult_n4_mID4_mD6_mV4_nV2-1.uai,1,2,0,0.11892555355987712 0.9597330753486 0.04026692465140006 0.8810744464401229,39.0
vs_n5_mID4_mD6_mV4_nV2-1,2,6,4,4,5,cve,sing,marg,./networks/vmodel/vmodel-sing_n5_mID4_mD6_mV4_nV2-1.uai,4,,0,0.111420091038625 0.5049269014197499 0.08533975950325 0.7555401082775 0.031163856563500004 0.209453811455 0.0422703740134 0.465130130417425,79.0
vs_n5_mID4_mD6_mV4_nV2-1,2,6,4,4,5,cve,sing,cond,./networks/vmodel/vmodel-sing_n5_mID4_mD6_mV4_nV2-1.uai,0,4,0,0.2333869467182198 0.9599723011515092 0.0400276988484908 0.7666130532817802,70.0
vm_n5_mID4_mD6_mV4_nV2-1,2,6,4,4,5,cve,mult,marg,./networks/vmodel/vmodel-mult_n5_mID4_mD6_mV4_nV2-1.uai,4,,0,0.23667960871239205 0.6366312303156401 0.36336876968436 0.763320391287608,71230.0
vm_n5_mID4_mD6_mV4_nV2-1,2,6,4,4,5,cve,mult,cond,./networks/vmodel/vmodel-mult_n5_mID4_mD6_mV4_nV2-1.uai,0,4,0,0.06001008639242781 0.41501702375703686 0.003614837265931061 0.08875491974504865 0.001368897736754587 0.08878057189622833 0.5114323317709017 0.9058565364685047,128126.0
vs_n6_mID4_mD6_mV4_nV2-1,2,6,4,4,6,cve,sing,marg,./networks/vmodel/vmodel-sing_n6_mID4_mD6_mV4_nV2-1.uai,5,,0,0.1605479661609787 0.6665316937996946 0.06693100720559744 0.6417370853723813 0.11985419472291634 0.4102584263573422,305.0
